2022-10-30 02:05:43,700 [30] INFO  - MONITOR  ResourceStatus: | CPU: 23% | WrkSetMem: 73,576 KB | PagedMem: 92,800 KB | NonPagedMem: 78 KB | ThrdCnt: 52 | HndlCnt: 1125 
2022-10-30 02:07:43,713 [30] INFO  - MONITOR  ResourceStatus: | CPU: 24% | WrkSetMem: 73,084 KB | PagedMem: 92,344 KB | NonPagedMem: 78 KB | ThrdCnt: 54 | HndlCnt: 1150 
2022-10-30 02:09:43,726 [30] INFO  - MONITOR  ResourceStatus: | CPU: 23% | WrkSetMem: 73,060 KB | PagedMem: 92,296 KB | NonPagedMem: 79 KB | ThrdCnt: 53 | HndlCnt: 1091 
2022-10-30 02:11:43,743 [30] INFO  - MONITOR  ResourceStatus: | CPU: 24% | WrkSetMem: 73,060 KB | PagedMem: 92,296 KB | NonPagedMem: 78 KB | ThrdCnt: 53 | HndlCnt: 1125 
2022-10-30 02:13:43,758 [30] INFO  - MONITOR  ResourceStatus: | CPU: 25% | WrkSetMem: 73,060 KB | PagedMem: 92,296 KB | NonPagedMem: 78 KB | ThrdCnt: 53 | HndlCnt: 1140 
2022-10-30 02:15:43,772 [30] INFO  - MONITOR  ResourceStatus: | CPU: 24% | WrkSetMem: 73,156 KB | PagedMem: 92,376 KB | NonPagedMem: 78 KB | ThrdCnt: 52 | HndlCnt: 1135 
2022-10-30 02:17:43,786 [30] INFO  - MONITOR  ResourceStatus: | CPU: 23% | WrkSetMem: 73,180 KB | PagedMem: 92,440 KB | NonPagedMem: 78 KB | ThrdCnt: 52 | HndlCnt: 1125 
2022-10-30 02:19:43,813 [30] INFO  - MONITOR  ResourceStatus: | CPU: 23% | WrkSetMem: 73,304 KB | PagedMem: 92,568 KB | NonPagedMem: 78 KB | ThrdCnt: 52 | HndlCnt: 1135 
2022-10-30 02:21:43,831 [30] INFO  - MONITOR  ResourceStatus: | CPU: 24% | WrkSetMem: 73,332 KB | PagedMem: 92,568 KB | NonPagedMem: 78 KB | ThrdCnt: 52 | HndlCnt: 1145 
2022-10-30 02:23:43,846 [30] INFO  - MONITOR  ResourceStatus: | CPU: 23% | WrkSetMem: 73,324 KB | PagedMem: 92,576 KB | NonPagedMem: 78 KB | ThrdCnt: 52 | HndlCnt: 1174 
2022-10-30 02:25:43,861 [30] INFO  - MONITOR  ResourceStatus: | CPU: 24% | WrkSetMem: 73,380 KB | PagedMem: 92,632 KB | NonPagedMem: 78 KB | ThrdCnt: 52 | HndlCnt: 1166 
2022-10-30 02:27:43,875 [30] INFO  - MONITOR  ResourceStatus: | CPU: 24% | WrkSetMem: 73,436 KB | PagedMem: 92,696 KB | NonPagedMem: 78 KB | ThrdCnt: 52 | HndlCnt: 1151 
2022-10-30 02:29:43,887 [30] INFO  - MONITOR  ResourceStatus: | CPU: 23% | WrkSetMem: 73,508 KB | PagedMem: 92,840 KB | NonPagedMem: 80 KB | ThrdCnt: 55 | HndlCnt: 1128 
2022-10-30 02:31:43,906 [30] INFO  - MONITOR  ResourceStatus: | CPU: 23% | WrkSetMem: 73,596 KB | PagedMem: 92,916 KB | NonPagedMem: 78 KB | ThrdCnt: 54 | HndlCnt: 1151 
2022-10-30 02:33:43,924 [30] INFO  - MONITOR  ResourceStatus: | CPU: 23% | WrkSetMem: 73,036 KB | PagedMem: 92,320 KB | NonPagedMem: 78 KB | ThrdCnt: 54 | HndlCnt: 1085 
2022-10-30 02:35:43,939 [30] INFO  - MONITOR  ResourceStatus: | CPU: 24% | WrkSetMem: 73,020 KB | PagedMem: 92,280 KB | NonPagedMem: 78 KB | ThrdCnt: 53 | HndlCnt: 1119 
2022-10-30 02:37:43,955 [30] INFO  - MONITOR  ResourceStatus: | CPU: 24% | WrkSetMem: 73,028 KB | PagedMem: 92,320 KB | NonPagedMem: 80 KB | ThrdCnt: 54 | HndlCnt: 1122 
2022-10-30 02:39:43,969 [30] INFO  - MONITOR  ResourceStatus: | CPU: 24% | WrkSetMem: 73,104 KB | PagedMem: 92,432 KB | NonPagedMem: 80 KB | ThrdCnt: 55 | HndlCnt: 1122 
2022-10-30 02:41:43,982 [30] INFO  - MONITOR  ResourceStatus: | CPU: 23% | WrkSetMem: 73,236 KB | PagedMem: 92,512 KB | NonPagedMem: 78 KB | ThrdCnt: 54 | HndlCnt: 1135 
2022-10-30 02:43:43,997 [30] INFO  - MONITOR  ResourceStatus: | CPU: 42% | WrkSetMem: 73,240 KB | PagedMem: 92,512 KB | NonPagedMem: 79 KB | ThrdCnt: 54 | HndlCnt: 1166 
2022-10-30 02:45:44,014 [30] INFO  - MONITOR  ResourceStatus: | CPU: 24% | WrkSetMem: 73,260 KB | PagedMem: 92,576 KB | NonPagedMem: 79 KB | ThrdCnt: 54 | HndlCnt: 1156 
2022-10-30 02:47:44,029 [30] INFO  - MONITOR  ResourceStatus: | CPU: 24% | WrkSetMem: 73,408 KB | PagedMem: 92,664 KB | NonPagedMem: 78 KB | ThrdCnt: 53 | HndlCnt: 1139 
2022-10-30 02:49:44,053 [30] INFO  - MONITOR  ResourceStatus: | CPU: 24% | WrkSetMem: 73,428 KB | PagedMem: 92,768 KB | NonPagedMem: 80 KB | ThrdCnt: 54 | HndlCnt: 1122 
2022-10-30 02:51:44,073 [30] INFO  - MONITOR  ResourceStatus: | CPU: 24% | WrkSetMem: 73,472 KB | PagedMem: 92,820 KB | NonPagedMem: 80 KB | ThrdCnt: 54 | HndlCnt: 1153 
2022-10-30 02:53:44,084 [30] INFO  - MONITOR  ResourceStatus: | CPU: 24% | WrkSetMem: 73,496 KB | PagedMem: 92,820 KB | NonPagedMem: 80 KB | ThrdCnt: 54 | HndlCnt: 1123 
2022-10-30 02:55:44,101 [30] INFO  - MONITOR  ResourceStatus: | CPU: 16% | WrkSetMem: 73,476 KB | PagedMem: 92,780 KB | NonPagedMem: 80 KB | ThrdCnt: 53 | HndlCnt: 1148 
2022-10-30 02:57:44,105 [30] INFO  - MONITOR  ResourceStatus: | CPU: 6% | WrkSetMem: 73,508 KB | PagedMem: 92,820 KB | NonPagedMem: 79 KB | ThrdCnt: 54 | HndlCnt: 1123 
2022-10-30 02:59:44,123 [30] INFO  - MONITOR  ResourceStatus: | CPU: 6% | WrkSetMem: 73,028 KB | PagedMem: 92,308 KB | NonPagedMem: 79 KB | ThrdCnt: 54 | HndlCnt: 1158 
2022-10-30 03:01:44,130 [30] INFO  - MONITOR  ResourceStatus: | CPU: 7% | WrkSetMem: 73,016 KB | PagedMem: 92,272 KB | NonPagedMem: 79 KB | ThrdCnt: 53 | HndlCnt: 1086 
2022-10-30 03:03:44,140 [30] INFO  - MONITOR  ResourceStatus: | CPU: 7% | WrkSetMem: 73,028 KB | PagedMem: 92,308 KB | NonPagedMem: 78 KB | ThrdCnt: 54 | HndlCnt: 1116 
